Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
False; False; 0; [-513.8353881835938, 160.65948486328125, 0.3061663806438446, 90.0004653930664, -0.13296328485012054, -0.1569824069738388]; [237.94776916503906, -119.0307846069336, 0.007355784997344017, -0.0014648435171693563, 0.239220529794693, -0.01022338680922985]
