Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
False; False; 0; [-513.8345336914062, 160.65943908691406, 0.3060784339904785, 90.00044250488281, -0.1314128339290619, -0.1619262546300888]; [237.9475860595703, -119.03047943115234, 0.007271995302289724, -0.00039672848652116954, 0.23180978000164032, -0.00030517575214616954]
