Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3061721622943878, 90.00013732910156, -0.13119426369667053, -0.1632690280675888]; [237.9477081298828, -119.03079986572266, 0.007465514820069075, -0.0006713866023346782, 0.23800475895404816, -0.008331299759447575]
