Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
False; False; 0; [29.854537963867188, -173.75917053222656, 0.5019378066062927, -179.9998016357422, -0.13189777731895447, -0.1612853705883026]; [260.3702392578125, -258.5421142578125, 0.00738386157900095, -90.00152587890625, 0.2393844574689865, -0.010345465503633022]; [199.41712951660156, -255.72616577148438, 0.039666879922151566, 89.99290466308594, 0.01588701829314232, -0.01400757022202015]; [214.04583740234375, -168.76104736328125, 0.18787391483783722, 0.0, 0.002376905642449856, -0.000274658203125]
