Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
False; False; 0; [-513.8338623046875, 160.65951538085938, 0.30561840534210205, 90.00013732910156, -0.12311415374279022, -0.1605529636144638]; [237.94786071777344, -119.03079986572266, 0.0072227283380925655, -0.000518798828125, 0.23371540009975433, -0.00341796875]
