Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
False; False; 0; [-513.8346557617188, 160.6593780517578, 0.30620700120925903, 90.00013732910156, -0.13046343624591827, -0.1629943549633026]; [237.99644470214844, -119.03111267089844, 0.006481990683823824, -0.03082275390625, 0.23491068184375763, 4.662775609176606e-05]
