Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
False; False; 0; [29.85454559326172, -173.75901794433594, 0.5019909143447876, 179.99989318847656, -0.1310713291168213, -0.1623535007238388]; [260.3694152832031, -258.59954833984375, 0.006549491547048092, -90.05126953125, 0.23608547449111938, 5.021298420615494e-05]; [199.41720581054688, -255.72604370117188, 0.03974319249391556, 89.9936294555664, 0.01570943370461464, -0.014373780228197575]; [214.04568481445312, -168.76133728027344, 0.18365256488323212, 1.909675120259635e-05, 0.002165169920772314, -0.0016174315242096782]
