Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
False; False; 0; [29.854528427124023, -173.75955200195312, 0.5018075704574585, 179.9998779296875, -0.13326381146907806, -0.1607665717601776]; [260.3700866699219, -258.58551025390625, 0.006543083116412163, -90.01406860351562, 0.2347809076309204, 6.025824768585153e-05]; [199.41712951660156, -255.72621154785156, 0.03957086428999901, 89.99384307861328, 0.016146566718816757, -0.013793944381177425]; [214.045654296875, -168.7616424560547, 0.18401207029819489, 7.082451338646933e-05, 0.0032170189078897238, -0.0021057126577943563]
