Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
False; False; 0; [29.85453224182129, -173.7592315673828, 0.5016940832138062, 179.99986267089844, -0.13177482783794403, -0.1609191745519638]; [260.3702697753906, -258.5422668457031, 0.007343139499425888, -90.00054931640625, 0.2345760017633438, -0.004516593646258116]; [199.41709899902344, -255.7261505126953, 0.03962736204266548, 89.99510955810547, 0.016126075759530067, -0.013946532271802425]; [214.04551696777344, -168.76150512695312, 0.18356487154960632, 0.0, 0.001263584941625595, -0.001007080078125]
