participant_id,group,n_inform,n_intervene,total_presses,trip_secs,press_rate
R_2GCn5kDuFjI4ROx,text,1,2,3,392.0145098,0.45916667750852724
R_2Jjg3lGLOE80snf,text,0,1,1,384.1202442,0.1562010878259251
R_2M3WhnmOq2Cvbtw,text,2,2,4,402.9939483,0.59554244179701
R_2pbtVz7chdL3Z4J,text,0,3,3,385.8146143,0.46654531302963137
R_2S1ftlbVSMEaaCa,text,4,0,4,388.0491671,0.6184783278716642
R_2yrVGJW615AnaKH,text,2,3,5,378.3237096,0.7929717128149031
R_3IYIgKYfadiSTk2,text,3,8,11,414.1554443,1.5936045489285386
R_82u0lBYaOUfCZGK,text,4,3,7,392.7451528,1.0693957570340253
R_82yV6n7Hwnh8D2e,text,6,7,13,419.4535511,1.859562275619032
R_83j5U9FAiStQjTp,text,4,6,10,410.0742873,1.4631495282245168
R_8aQPykCIrkN1rkQ,text,2,6,8,396.4229518,1.210827975071851
R_8DefiU6rD694nQm,text,8,8,16,556.6917907,1.7244730675709605
R_8HeMXy2Z3njFsOd,text,0,0,0,385.1894782,0.0
R_8iKLVhrra4leAVi,text,3,2,5,389.9920941,0.7692463630380041
R_8otD3pW4QGhboRP,text,7,9,16,416.6290854,2.3042078281172254
R_8TGfu6L1KP6Du3V,text,1,3,4,385.4193367,0.6226983888636847
R_8Tpo8BoSqiIjEAW,text,3,4,7,414.7160424,1.0127411458920692
R_8uOwwNy3E5L0Dpn,text,4,1,5,397.3798869,0.7549451038912156
R_21idYiYyo38laOJ,voice,4,4,8,421.5255819,1.1387209237371316
R_240i1i4hXpWXZjr,voice,4,5,9,388.6435962,1.3894478264402188
R_2AEDvno2pYQFEEH,voice,8,6,14,405.1351159,2.073382353277266
R_2F3avXVwqRbdZWk,voice,1,2,3,390.288089,0.46119777946900137
R_2g5fTpJz9683Pr2,voice,3,2,5,471.7374248,0.6359469998107303
R_2H1jhoBQSlTTdYZ,voice,8,5,13,403.2275298,1.9343917325954365
R_2r16cF1wtgTa4l8,voice,1,4,5,406.1369354,0.7386671190211576
R_82DrQrMtOuk65M6,voice,2,2,4,404.220583,0.593735227975761
R_8DGcmBS6CF7Tyud,voice,2,1,3,386.0218298,0.46629487273623615
R_8FqAwKVQ55qnbwX,voice,10,8,18,426.5832774,2.5317448133047704
R_8gMjhWXPlG363s0,voice,1,4,5,390.5092475,0.768227646132759
R_8jUF8bOHNCzhyTf,voice,0,1,1,380.376751,0.15773834715781565
R_8kidpk1vpAV0VcI,voice,7,5,12,406.579224,1.770872581526694
R_8KOQ8LARhCHwTmq,voice,1,2,3,383.780129,0.4690185509839151
R_8mCywcisFRmzNhn,voice,6,4,10,393.4786432,1.5248603967942116
R_8oVYNNWnilnz6jD,voice,2,3,5,388.8238325,0.7715576436534405
R_8qUn1XcGiE5OEDz,voice,3,4,7,388.2210622,1.0818578405301162
R_8x0jwlnM2fgjd9D,voice,8,8,16,410.6111267,2.337978533887596
